director,number_of_title,vote_average
Bill Pohlad,1,7.2
Bille August,5,6.720000000000001
Bille Woodruff,6,5.55
Billy Bob Thornton,3,6.133333333333333
Billy Corben,2,6.75
Billy Crystal,2,5.55
Billy Kent,1,5.6
Billy O'Brien,1,5.5
Billy Ray,3,6.166666666666667
Billy Wilder,9,6.622222222222222
BjÃ¶rn Stein|MÃ¥ns MÃ¥rlind,1,5.5
Blaine Thurier,1,4.3
Blair Erickson,1,5.7
Blair Hayes,1,4.6
Blair Treu,3,5.966666666666666
Blake Edwards,16,6.10625
Blayne Weaver,1,5.2
Bo Welch,1,5.0
Bo Zenga,1,4.1
Boaz Davidson,1,6.6
Boaz Yakin,5,6.839999999999999
Bob Balaban,2,5.5
Bob Clark,7,5.185714285714285
Bob Dolman,2,5.5
Bob Fosse,3,6.766666666666666
Bob Gale,1,6.7
Bob Gosse,1,5.6
Bob Hathcock,1,6.7
Bob Logan,1,4.6
Bob Misiorowski,1,3.5
Bob Odenkirk,2,5.15
Bob Peterson|Pete Docter,1,7.6
Bob Rafelson,7,5.914285714285714
Bob Saget,1,6.4
Bob Smeaton,1,6.5
Bob Spiers,1,5.2
Bobby Farrelly|Peter Farrelly,10,5.59
Bobby Gene Leonard,1,4.2
Bobby Roe,1,5.4
Bobcat Goldthwait,5,6.1
Bonner Bellew,1,7.2
Bonnie Hunt,1,5.5
Boris Rodriguez,1,6.1
Boris Sagal,1,5.7
Bosse Lindquist,1,7.0
Boudewijn Koole,1,6.0
Bouli Lanners,1,5.4
Boyd Kirkland,1,6.8
Brad Anderson,7,6.257142857142857
Brad Bird,5,6.9799999999999995
Brad Bird|Jan Pinkava,1,7.3
Brad Copeland,1,6.6
Brad Furman,2,6.2
Brad J. Silverman,1,6.1
Brad McGann,1,7.1
Brad Mirman,1,6.3
Brad Osborne,1,5.5
Brad Peyton,3,5.633333333333333
Brad Silberling,6,6.266666666666667
Brad Turner,1,4.7
Bradford May,2,3.55
Bradley King,1,6.3
Bradley Parker,1,4.8
Bradley Raymond,5,6.18
Bradley Rust Gray,1,4.4
Brady Corbet,1,3.6
Branden Kramer,1,5.2
Brandon Camp,1,5.5
Brandon Cronenberg,1,5.7
Brandon Nutt,1,2.9
Brandon Vietti,3,6.733333333333334
Breck Eisner,3,5.766666666666666
Breck Eisner|FÃ©lix EnrÃ­quez AlcalÃ¡|John Fawcett|Tobe Hooper|Jeremy Kagan|Michael Katleman|Sergio Mimica-Gezzan|Bryan Spicer|Thomas J. Wright,1,6.8
Brenda Chapman|Steve Hickner|Simon Wells,1,6.7
Brendan Cowles|Shane Kuhn,1,4.8
Brendan Maher,1,4.9
Brendan Malloy|Emmett Malloy,1,6.1
Breno Silveira,1,7.0
Brent Hodge|Derik Murray,1,7.0
Brent Maddock,1,5.2
Brent McCorkle,1,5.8
Brenton Spencer,1,4.8
Brett Donowho,1,4.9
Brett Haley,1,6.2
Brett Harvey,1,6.8
Brett Kelly,1,2.0
Brett Leonard,5,4.7
Brett Morgen,1,7.5
Brett Pierce|Drew T. Pierce,1,4.4
Brett Ratner,10,6.21
Brett Simmons,3,4.5
Brett Simon,1,6.2
Brett Sullivan|Simon Phillips,1,7.4
Brian A Miller,4,4.675
Brian Baugh,1,5.6
Brian Brough,1,5.7
Brian Clemens,1,6.0
Brian Cosgrove,1,6.8
Brian Dannelly,2,6.0
Brian De Palma,20,6.3549999999999995
Brian Falk,1,6.5
Brian Flemming,1,5.9
