cast,number_of_title,vote_average
Jason Earles,3,5.933333333333334
Jason Flemyng,1,5.7
Jason Gray-Stanford,1,5.1
Jason Hall,1,5.1
Jason Isaacs,5,5.7
Jason Jones,1,5.4
Jason Lee,3,5.533333333333332
Jason Lewis,1,6.1
Jason MacDonald,1,4.8
Jason Mantzoukas,1,4.4
Jason Marsden,1,4.3
Jason Mitchell,1,4.7
Jason Momoa,3,5.199999999999999
Jason O'Mara,2,5.0
Jason Patric,2,7.0
Jason Ralph,1,7.6
Jason Ritter,3,5.966666666666668
Jason Robards,1,7.1
Jason Schwartzman,6,6.099999999999999
Jason Segel,5,5.3999999999999995
Jason Statham,7,6.014285714285714
Jason Steadman,1,4.6
Jason Sudeikis,3,5.233333333333333
Jason Tobin,1,7.0
Jason Topolski,1,6.7
Jason Watkins,1,4.9
Jason Woods,1,5.7
Jason Wright,1,6.1
Jassa Ahluwalia,1,6.8
Javier Bardem,2,4.65
Jay Baruchel,7,5.785714285714286
Jay Brazeau,1,5.6
Jay Chandrasekhar,1,7.3
Jay Ellis,1,4.5
Jay Gallagher,1,3.4
Jay Gillespie,1,5.3
Jay Paulson,1,7.5
Jay R. Ferguson,1,7.5
Jay Reinke,1,5.3
Jay Simpson,1,7.8
Jay Tavare,1,6.0
Jayma Mays,1,6.5
Jayne Eastwood,1,6.9
Jayson Blair,1,6.0
Jean Benguigui,1,6.9
Jean Clottes,1,6.5
Jean Marchand,1,5.9
Jean Reno,3,6.2
Jean Rochefort,1,6.1
Jean Smart,1,6.6
Jean-Claude Van Damme,3,6.433333333333334
Jean-Luc Bilodeau,1,7.0
Jean-Michel Geneste,1,7.3
Jean-Paul Rouve,1,6.4
Jean-Pierre Marielle,1,6.3
Jeananne Goossen,1,7.5
Jeanette Nolan,1,6.0
Jeanne Bates,1,6.5
Jeanne Tripplehorn,1,5.4
Jed Brophy,1,6.2
Jeff Bennett,2,5.4
Jeff Bergman,1,6.0
Jeff Bowser,1,6.3
Jeff Branson,1,6.2
Jeff Bridges,7,6.057142857142858
Jeff Daniel Phillips,1,7.0
Jeff Daniels,7,6.414285714285714
Jeff F. Renfro,1,6.7
Jeff Goldblum,2,6.550000000000001
Jeff Goodby,1,7.2
Jeff Hiller,1,3.9
Jeff Larson,1,6.8
Jeff Roop,1,8.0
Jeffrey Ballard,1,6.2
Jeffrey Combs,1,6.4
Jeffrey DeMunn,1,6.6
Jeffrey Dean Morgan,5,5.819999999999999
Jeffrey Donovan,1,7.6
Jeffrey Katzenberg,1,6.5
Jeffrey Tambor,4,6.174999999999999
Jeffrey Thomas,1,6.1
Jeffrey Wright,1,5.1
Jelena Nik,1,6.7
Jemaine Clement,5,6.24
Jen Taylor,1,6.4
Jena Malone,2,6.05
Jena Sims,1,4.0
Jenessa Grant,1,6.8
Jenifer Bartoli,1,4.9
Jenn Proske,1,4.6
Jenna Coleman,1,5.7
Jenna Dewan,2,6.35
Jenna Elfman,1,6.4
Jenna Fischer,1,6.3
Jenna Harrison,1,6.6
Jenna Kawar,1,6.3
Jenna Ortega,1,5.5
Jenna Saras,1,5.9
Jenni Baird,2,5.3
Jennie Fahn,1,6.7
Jennifer Aniston,6,5.866666666666666
Jennifer Armour,1,6.4
Jennifer Batter,1,5.7
Jennifer Beals,2,6.6
Jennifer Blanc,1,6.4
Jennifer Cody,1,5.1
Jennifer Connelly,7,5.985714285714286
Jennifer Coolidge,3,6.333333333333333
Jennifer Ehle,5,5.88
Jennifer Garner,6,6.116666666666667
Jennifer Gibney,1,7.0
Jennifer Grey,1,5.4
Jennifer Hudson,2,6.45
Jennifer Jason Leigh,4,6.8500000000000005
Jennifer Koenig,1,5.4
Jennifer Lafleur,1,6.3
Jennifer Landon,1,7.6
Jennifer Lawrence,6,6.233333333333334
Jennifer Lee,1,6.1
Jennifer Lopez,4,5.575
Jennifer Love Hewitt,1,6.2
Jennifer Lyons,1,5.7
Jennifer Morrison,1,6.7
Jennifer Robyn Jacobs,1,4.5
Jennifer Saunders,1,5.9
Jennifer Sipes,1,7.4
Jennifer Stone,1,6.7
Jennifer Warren,1,7.4
Jenny Agutter,2,5.85
Jenny Galloway,1,7.5
Jenny Slate,3,5.966666666666666
Jenny Wade,1,5.4
Jensen Ackles,2,6.199999999999999
Jeremy Allen White,1,2.2
Jeremy Chabriel,1,5.2
Jeremy Clarkson,1,6.6
Jeremy Dozier,1,5.7
Jeremy Gardner,1,5.9
Jeremy Irons,2,6.25
Jeremy Irvine,4,5.499999999999999
Jeremy Isabella,1,7.1
Jeremy Jordan,1,5.7
Jeremy London,1,6.8
Jeremy Make,1,4.7
Jeremy Northam,2,5.85
Jeremy Piven,2,6.95
Jeremy Ray Valdez,1,6.6
Jeremy Renner,4,6.25
Jeremy Sisto,2,6.949999999999999
Jeremy Strong,1,5.3
Jeremy Suarez,1,4.6
Jeremy Sumpter,1,4.5
Jerome Ranft,1,4.5
Jerry Ferrara,3,6.033333333333334
Jerry Lawler,1,5.3
Jerry O'Connell,6,6.6000000000000005
Jerry Reed,1,5.6
Jerry Shea,1,4.4
Jesco White,1,6.5
Jess Weixler,1,6.8
Jessalyn Wanlim,1,5.7
Jesse Bradford,2,6.25
Jesse Camacho,1,4.6
Jesse Carere,1,6.3
Jesse Eisenberg,10,6.5
Jesse Garcia,1,5.3
Jesse Head,1,6.9
Jesse Hutch,2,6.65
Jesse Johnson,1,5.4
Jesse Kuhn,1,5.8
Jesse McCartney,3,5.633333333333333
Jesse Metcalfe,3,6.333333333333333
Jesse Moss,3,5.733333333333334
Jesse Plemons,1,7.5
Jesse Rath,1,5.4
Jesse Welles,1,4.7
Jessica Alba,8,6.249999999999999
Jessica Barth,1,6.3
Jessica Biel,6,6.116666666666667
Jessica Brown Findlay,4,6.25
Jessica Chastain,11,5.954545454545454
Jessica De Gouw,1,5.4
Jessica Duffy,1,4.3
Jessica Lange,2,5.8
Jessica Lowndes,3,6.466666666666666
Jessica Lucas,1,6.4
Jessica Marais,1,7.3
Jessica McNamee,1,5.6
Jessica ParÃ©,2,5.1
Jessica Rothe,1,5.2
Jessica Stroup,1,6.0
Jessica Szohr,3,5.3
Jessica Tovey,2,5.4
Jessica Williams,1,6.0
Jet Jurgensmeyer,1,5.4
Jewel Staite,1,6.3
Jhey Castles,1,6.6
Jill Evyn,1,6.7
Jill Larson,1,7.0
Jill Scott,1,5.8
Jillian Bell,2,4.65
Jillian Clare,1,5.3
Jillian Murray,1,5.2
Jillian Nelson,1,5.2
Jim Beaver,1,8.4
Jim Belushi,1,5.7
Jim Broadbent,6,6.366666666666667
Jim Carrey,4,5.7
Jim Carter,1,7.1
Jim Caviezel,2,6.25
Jim Cody Williams,1,6.1
Jim Cummings,2,5.45
Jim Dale,1,5.8
Jim Durfee,1,5.6
Jim Gaffigan,2,4.9
Jim Jefferies,2,5.05
Jim Korinke,1,5.8
Jim Morrison,1,6.3
Jim Parrack,1,6.0
Jim Parsons,3,6.266666666666667
Jim Piddock,1,6.4
Jim Sturgess,5,6.779999999999999
Jimmi Simpson,1,7.1
Jimmy Akingbola,1,5.0
Jimmy Bennett,5,6.5200000000000005
Jimmy Chin,1,5.9
Jimmy Kimmel,1,6.4
Jimmy Page,1,5.6
Jimmy Shergill,1,6.5
Jin Auyeung,1,6.4
Jing Lusi,1,6.6
Jinkee Pacquiao,1,4.9
Jisshu Sengupta,1,5.9
Jo Yang,1,7.8
JoBeth Williams,2,5.9
JoJo Kushner,1,7.6
Joan Allen,3,5.933333333333334
Joan Blondell,1,6.8
Joan Chen,1,7.0
Joan Collins,1,6.3
Joan Cusack,5,6.32
Joan Jett,1,4.8
Joanna Gleason,1,5.1
Joanna Lumley,1,4.9
Joanne Kelly,1,7.3
Joanne Whalley,1,6.3
Joaquin Phoenix,3,5.233333333333333
JoaquÃ­n Cosio,1,4.6
Jocelin Donahue,3,6.066666666666666
Jodelle Ferland,2,5.0
Jodi Lyn O'Keefe,1,5.3
Jodie Foster,1,5.5
Jodie Sweetin,1,7.5
Jodie Whittaker,2,6.05
Jody Thompson,1,6.1
Joe Anderson,4,5.65
Joe Bistaveous,1,6.0
Joe Cassidy,1,5.9
Joe Chisholm,1,5.3
Joe Chrest,1,5.6
Joe Cole,2,6.2
Joe Cross,1,5.7
Joe Dante,1,6.1
Joe Dempsie,2,5.5
Joe Egender,1,5.4
Joe Flynn,1,5.9
Joe Hansard,1,5.3
Joe Jackson,1,7.2
Joe Jonas,2,6.3
Joe Lewandowski,1,6.4
Joe Manganiello,4,6.1
Joe Pickett,1,6.7
Joe Quesada,1,4.9
Joe Reegan,1,5.8
Joe Silver,1,5.4
Joe Slaughter,1,7.4
Joe Swanberg,1,6.0
Joel Bishop,1,5.7
Joel Courtney,1,7.1
Joel David Moore,3,6.099999999999999
Joel Edgerton,8,5.375
Joel Garland,1,6.3
Joel Gretsch,1,5.2
Joel Kinnaman,3,5.733333333333333
Joel McHale,4,6.3500000000000005
Joel Michaely,1,6.6
Joel Murray,2,6.05
Joel Potrykus,1,6.0
Joel Tobeck,1,4.8
Joel de la Fuente,1,7.8
Joelle Carter,2,5.300000000000001
Joely Richardson,1,6.1
Joey Bragg,1,5.8
Joey Kern,1,7.4
Joey King,3,6.033333333333334
Joey Lauren Adams,2,5.1
Joey Lawrence,1,5.2
Joey Morgan,1,6.6
Joey Oglesby,1,7.2
Joey Pollari,1,7.1
Joey Richter,1,5.2
JoeyStarr,1,5.5
Johan Heldenbergh,1,4.8
Johan Leysen,1,2.8
Johan LibÃ©reau,1,7.2
Johan Raja Lawak,1,6.2
Johanna Braddy,2,5.25
Johanna Wokalek,1,6.8
Johannes BjÃ¶rk,1,7.3
John Amos,1,6.4
John Amplas,1,5.9
John Barger,1,6.8
John Beck,1,6.2
John Brumpton,2,6.15
John C. Reilly,9,5.688888888888888
John Cahill Lawless,1,4.1
John Carpenter,1,5.8
John Carradine,1,8.0
John Carroll Lynch,3,5.266666666666667
John Cassavetes,1,5.6
John Cassini,1,7.3
John Cena,2,5.75
John Charles Meyer,1,6.7
John Cho,1,7.1
John Cleese,1,4.4
John Corbett,4,6.550000000000001
John Cullum,1,4.6
John Cusack,9,5.833333333333334
John David Carson,1,4.5
John DeLuca,1,5.6
John Densmore,1,6.3
John Denver,1,5.4
John DiMaggio,2,7.25
John Doman,1,6.2
John Dunsworth,2,6.05
John Fallon,1,5.3
John Gallagher Jr.,1,6.3
John Goodman,9,5.7555555555555555
John Hawkes,3,5.3999999999999995
John Heard,1,5.6
John Hennigan,1,3.8
John Henshaw,2,6.0
John Hillerman,1,5.5
John Hurt,6,5.316666666666666
John Huston,1,4.7
John Karna,1,6.0
John Krasinski,3,4.533333333333333
John Larroquette,1,6.8
John Lasseter,1,5.4
John Le Mesurier,1,5.5
John Leguizamo,5,6.540000000000001
John Lithgow,3,5.633333333333333
John Lloyd Taylor,1,7.3
John Lynch,1,7.7
John MacDonald,1,5.9
John Magaro,1,6.4
John Malkovich,4,5.675
John Mann,1,3.8
John Marley,1,4.5
John Michael Higgins,1,7.5
John Mulaney,1,6.7
John O'Hurley,1,5.5
John Ortiz,3,6.433333333333334
John Patrick Amedori,1,6.1
John Paul Tremblay,2,6.75
John Pyper-Ferguson,2,6.199999999999999
John Ralston,1,6.2
John Rhys-Davies,4,5.875
John Robinson,1,6.7
John Rubinstein,1,5.8
John Savage,1,5.5
John Simm,1,4.7
John Slattery,1,6.7
John Stamos,2,5.95
John Steadman,1,6.8
John Tokatlidis,1,5.1
John Travolta,6,5.783333333333334
John Turturro,4,5.8
John Weselcouch,1,4.9
John Wood,1,5.8
Johnathon Schaech,1,5.3
Johnny Depp,8,5.637499999999999
Johnny Flynn,1,6.1
Johnny Harris,1,6.0
Johnny Knoxville,2,6.449999999999999
Johnny Messner,1,5.9
Johnny Ortiz,1,4.5
Johnny Pacar,1,5.6
Johnny Sekka,1,6.1
Johnny Simmons,3,6.233333333333333
Johnny Strong,1,6.6
Jolie Vanier,1,5.9
Jon Bernthal,3,5.633333333333333
Jon Brion,1,7.1
Jon Cor,1,5.7
Jon Cryer,1,5.3
Jon Favreau,3,5.033333333333333
Jon Foo,2,6.699999999999999
Jon Foster,1,5.2
Jon Gries,2,5.9
Jon Hamm,7,5.628571428571428
Jon Heder,3,6.666666666666667
Jon Kenny,1,5.9
Jon Michael Davis,1,6.5
Jon Necaj,1,4.8
Jon Peters,1,6.0
Jon Schnepp,1,7.6
Jon Seda,1,6.0
Jon Ted Wynne,1,6.3
Jon Voight,1,4.5
Jonah Hill,9,6.111111111111112
Jonas Armstrong,2,6.05
Jonathan Alpert,1,6.3
Jonathan Banks,1,7.6
Jonathan Bennett,2,5.800000000000001
Jonathan Billions,1,6.3
Jonathan Brugh,1,4.7
Jonathan Cherry,1,5.5
Jonathan Daniel Brown,1,7.0
Jonathan Firth,1,7.0
Jonathan Good,1,5.7
Jonathan Gordon,1,6.7
Jonathan Groff,3,5.433333333333334
Jonathan Keltz,1,5.8
Jonathan Lipnicki,1,6.5
Jonathan Nation,1,6.7
Jonathan Pienaar,1,6.0
Jonathan Pryce,3,5.5
Jonathan Readwin,1,7.6
Jonathan Rhys Meyers,3,6.666666666666667
Jonathan Sadowski,1,3.3
Jonathan Torrens,1,6.3
Jonathan Tucker,1,3.6
Jong-hak Choi,1,5.9
Jonjo O'Neill,1,5.4
Jonny Beauchamp,1,4.7
Jonny Coyne,1,5.6
Jonny Lee Miller,1,6.1
Jonny Mars,1,4.7
Jonny Weston,2,6.1
Joon Park,1,5.9
Jordan Belfi,1,5.9
Jordan Black,1,4.9
Jordan Fielding,1,6.2
Jordan Gelber,1,6.8
Jordan Gray,1,6.0
Jordan James Smith,1,7.6
Jordan Ladd,1,7.1
Jordan Long,1,6.1
Jordan Murphy,1,5.4
Jordan Nagai,2,5.550000000000001
Jordan Prentice,1,7.5
Jordan Rodrigues,1,3.7
Jordan Todosey,1,5.6
Jordana Brewster,3,6.866666666666667
Jordi MollÃ ,2,5.5
Jordyn Kane,1,6.3
Jorge Garcia,1,4.2
Jorge Lorenzo,1,3.7
Jorma Taccone,2,4.35
Jorunn Kjellsby,1,6.5
Jose Masegosa,1,6.9
Jose Pablo Cantillo,2,6.85
Josef Bierbichler,1,7.0
Josef Hader,1,4.8
Joseph Booton,1,7.0
Joseph Cali,1,6.0
Joseph Cotten,1,5.8
Joseph Fiennes,2,5.55
Joseph Gordon-Levitt,10,6.619999999999999
Joseph Julian Soria,1,4.0
Joseph Mawle,1,4.7
Joseph Mazzello,1,6.6
Joseph McKenna,1,5.6
Joseph Morgan,1,7.2
Joseph Ricci,1,6.9
Joseph Walker,1,5.7
Josh Barnett,1,5.9
Josh Blacker,1,4.7
Josh Bonzie,1,6.7
Josh Brolin,8,5.8
Josh Charles,3,6.666666666666667
Josh Dallas,1,6.9
Josh Duhamel,6,6.433333333333334
Josh Flitter,1,6.5
Josh Gad,4,6.949999999999999
Josh Hartnett,3,5.166666666666667
Josh Helman,1,8.0
Josh Henderson,2,6.65
Josh Hopkins,2,5.75
Josh Hutcherson,5,5.9399999999999995
Josh Keaton,1,6.0
Josh Kelly,2,7.0
Josh Lawson,1,7.4
Josh Lucas,6,6.5
Josh O'Connor,1,6.1
Josh Radnor,1,5.9
Josh Stewart,1,7.2
Josh Wiggins,3,5.866666666666667
Joshua Bowman,1,6.4
Joshua Burge,1,5.3
Joshua Cooper,1,6.8
Joshua Leonard,3,6.433333333333334
Joshua Mikel,1,6.6
Joshua Miller,1,6.4
Joshua Peace,1,5.4
Joshua Weigel,1,4.5
Joshua Zeman,1,6.0
Josie Loren,1,4.9
Joss Whedon,1,2.2
Josse De Pauw,1,5.8
JosÃ© Ferrer,1,6.1
JosÃ© Juan Meraz,1,5.6
JosÃ© Luis GarcÃ­a PÃ©rez,1,6.1
JosÃ© Manuel Mireles Valverde,1,4.1
JosÃ© Mourinho,1,7.5
JosÃ©phine de la Baume,1,5.5
Joy Bryant,2,6.0
Joyful Drake,1,6.1
Juan 'Doc Restrepo,2,6.699999999999999
Juan Carlos HernÃ¡ndez,1,6.0
Juan FernÃ¡ndez,1,7.3
Juan Longoria GarcÃ­a,1,5.5
Juan Pablo Medina,1,7.9
Juan Riedinger,1,6.1
Juan Saavedra,1,5.9
Judah Friedlander,1,5.6
Judd Nelson,1,5.9
Jude Ciccolella,1,6.1
Jude Law,4,6.75
Judi Dench,3,6.8999999999999995
Judie Aronson,1,5.7
Judith Davis,1,6.8
Judith GodrÃ¨che,1,4.9
Judith Haley,1,3.3
Judith Roberts,1,7.3
Judy Davis,2,5.45
Judy Greer,7,6.485714285714287
Julanne Chidi Hill,1,6.5
Julia Bremermann,1,7.0
Julia Cho,1,6.3
Julia Deakin,1,5.3
Julia Garner,1,4.4
Julia Pott,1,6.4
Julia Roberts,4,6.325
Julia Stiles,1,6.2
Julia Voth,1,5.6
Julian Assange,2,6.9
Julian Barratt,1,5.5
Julian Morris,1,6.3
Julian Rhind-Tutt,1,4.8
Julian Sands,2,7.65
Julian Shatkin,1,6.9
Juliana Harkavy,1,6.4
Julianna Guill,2,6.8
Julianna Margulies,1,6.5
Julianne Hough,2,7.15
Julianne Moore,10,5.93
Julie Andrews,3,5.233333333333333
Julie Benz,3,5.3
Julie Bowen,2,5.800000000000001
Julie Christie,2,6.4
Julie Delpy,1,5.8
Julie Gonzalo,1,4.2
Julie Guevara,1,6.9
Julie Hagerty,1,5.7
Julie Marcus,1,7.1
Julie McNiven,1,4.5
Julie Sommars,1,6.2
Julie Walters,2,5.9
Julie Warner,1,5.6
Juliette Binoche,3,5.133333333333334
Juliette Frederick,1,4.8
Juliette Lewis,5,6.16
Julin,1,6.0
Juliocesar Chavez,1,7.5
June Diane Raphael,1,5.5
June Squibb,1,5.3
Jung Woo-Sung,1,6.1
Junius Matthews,1,5.7
Juno Temple,8,5.7749999999999995
Justice Smith,1,4.9
Justin Armstrong,1,6.9
Justin Arnold,1,6.2
Justin Bartha,3,5.7
Justin Bieber,1,4.8
Justin Blanckaert,1,6.1
Justin Chatwin,3,6.7
Justin Chon,1,6.3
Justin Fletcher,1,7.0
Justin Hartley,1,7.2
Justin Kirk,1,7.2
Justin Long,14,6.107142857142857
Justin Peck,1,5.8
Justin Timberlake,2,7.0
Justin Welborn,1,5.9
JÃ©rÃ©mie Renier,2,6.199999999999999
Kabby Borders,1,6.3
Kabir Bedi,1,5.6
Kacey Barnfield,1,4.7
Kad Merad,1,5.1
Kadeem Hardison,1,5.2
Kahiry Bess,1,7.6
Kai Lennox,1,5.8
Kaira Akita,1,6.0
Kairi Narita,1,4.1
Kaitlin Olson,1,3.5
Kaitlyn Dever,1,5.0
Kaitlyn Dodson,1,5.8
Kaitlyn Maher,1,7.5
Kaj-Erik Eriksen,1,5.2
Kajol,1,5.2
Kal Penn,2,6.15
Kalen M. Waite,1,4.6
Kaley Cuoco,2,6.5
Kalina Green,1,6.7
Kalki Koechlin,1,5.5
Kam Heskin,1,6.8
Kamille Leai,1,5.5
Kana Hanazawa,1,7.0
Kandyse McClure,2,5.8
Kane Hodder,3,5.3
Kane Kosugi,1,6.7
Kang Dong-won,1,5.4
Kang-ho Song,1,5.5
Kangana Ranaut,1,6.1
Kanoa Goo,1,5.8
Kara Hayward,1,5.0
Kara Killmer,1,4.8
Karan Brar,1,4.8
Kareena Kapoor,3,5.7
Karel Roden,1,4.4
Karen Abercrombie,1,7.9
Karen Gillan,1,4.9
Karen Lynn Gorney,2,6.9
Karen Strassman,1,5.7
Kari Wahlgren,1,6.3
Kari Wuhrer,2,5.6
Karina Logue,1,7.1
Karissa Staples,1,5.4
Karl Davies,2,5.75
Karl Glusman,1,6.0
Karl Urban,3,6.3
Karley Scott Collins,1,6.0
Karren Karagulian,1,4.4
Karrie Crouse,1,6.4
Karrueche Tran,1,6.3
Kasia Smutniak,1,4.8
Kat Dennings,6,6.616666666666667
Kate Alden,1,5.5
Kate Angus,1,5.4
Kate Ashfield,2,5.45
Kate Beahan,1,5.6
Kate Beckinsale,5,5.9799999999999995
Kate Bell,1,5.9
Kate Bosworth,5,6.460000000000001
Kate Burton,3,6.466666666666666
Kate Dickie,1,5.4
Kate Flannery,1,5.6
Kate French,1,4.9
Kate Harbour,1,7.7
Kate Hudson,5,6.2
Kate Levering,1,3.3
Kate Lyn Sheil,1,5.9
Kate Mara,5,5.9
Kate McLeod,1,5.3
Kate Melton,2,5.85
Kate Mulvany,1,6.4
Kate Nauta,2,5.1
Kate Rasmussen,1,4.8
Kate Upton,1,4.5
Kate Walsh,3,6.033333333333334
Kate Winslet,5,5.98
Kate del Castillo,1,4.4
Katee Sackhoff,2,5.35
Katey Sagal,1,5.3
Katharine Heyhoe,1,6.0
Katharine Isabelle,3,5.400000000000001
Katharine McPhee,1,5.7
Katherine Ann McGregor,1,6.4
Katherine Cunningham,1,5.3
Katherine Flynn,1,6.3
Katherine Heigl,7,5.785714285714286
Katherine McNamara,1,6.5
Katherine Sigimund,1,6.2
Katherine Waterston,4,5.55
Katheryn Winnick,1,5.5
Kathleen Barr,1,5.3
Kathleen Lloyd,1,4.6
Kathleen Munroe,1,6.2
Kathleen Turner,1,5.1
Kathryn Hahn,5,5.8
Kathryn McCormick,1,4.8
Kathryn Morris,1,5.4
Kathryn Prescott,1,6.6
Kathy Baker,3,5.866666666666667
Kathy Bates,6,5.5
Kathy Najimy,1,6.3
Katie Cassidy,2,5.95
Katie Couric,1,7.3
Katie Featherston,1,6.5
Katie Findlay,1,6.1
Katie Finneran,1,6.5
Katie Holmes,4,6.2
Katie Jarvis,1,7.0
Katie Lowes,2,5.75
Katie Moore,1,5.4
Katie Nehra,1,7.0
Katie Sarife,1,4.7
Katie Walder,1,6.3
Katrina Bowden,2,4.65
Katrina Kaif,2,5.65
Katrina Law,1,6.8
Katrina Norman,2,5.8
Katy Brand,1,8.0
Katy Reece,1,5.6
Kay Panabaker,1,8.1
Kaya Scodelario,3,6.3
Kayla Carlyle,1,7.0
Kayla Servi,1,5.9
Kayvan Novak,1,4.0
Keanu Reeves,5,5.62
Keegan Connor Tracy,2,5.699999999999999
Keegan Edwards,1,6.3
Keegan-Michael Key,1,5.6
Keenan Tracey,1,5.5
Keenan Wynn,1,5.8
Keene McRae,1,5.5
Keir Gilchrist,3,6.566666666666667
Keir O'Donnell,1,6.6
Keira Knightley,6,6.1000000000000005
Keith Carradine,1,6.2
Keith David,4,5.65
Keith Jordan,1,5.4
Keith Richards,1,5.6
Keke Palmer,2,4.699999999999999
Kelcie Stranahan,1,6.4
Kellan Lutz,3,5.3999999999999995
Kelle Cantwell,1,7.4
Kelli Berglund,1,5.8
Kellie Cockrell,1,5.2
Kelly Blatz,3,6.633333333333333
Kelly Brewster,1,6.0
Kelly Brownell,1,5.9
Kelly Byrne,1,6.2
Kelly Hu,2,6.0
Kelly Keaton,1,5.4
Kelly Macdonald,1,4.2
Kelly McCreary,1,5.8
Kelly McGillis,1,7.1
Kelly Metzger,1,4.9
Kelly Overton,2,6.65
Kelly Preston,1,5.7
Kelly Reilly,3,4.333333333333333
Kelly Sheridan,5,5.619999999999999
Kelsey Grammer,1,5.4
Kemat,1,6.7
Ken Howard,1,6.3
Ken Jeong,5,5.140000000000001
Ken Kirzinger,1,5.2
Ken Marino,1,6.7
Ken Stott,3,5.8999999999999995
Ken Watanabe,3,6.133333333333333
Kenan Thompson,1,5.6
Kenda Benward,1,6.6
Kendall Cross,2,5.75
Kendall Plemons,1,7.4
Kendra Appleton,1,5.8
Kendra Leigh Timmins,1,6.7
Kennedi Clements,1,6.3
Kenneth Vanbaeden,1,6.4
Kenneth Welsh,3,5.066666666666666
Kenny Ortega,1,6.7
Kenny Wormald,5,6.26
Kent Moran,1,5.6
Kent Nolan,1,5.6
Kentucker Audley,1,5.2
Keri Russell,4,6.35
Kerr Smith,2,5.45
Kerris Dorsey,1,6.6
Kerry BishÃ©,1,6.1
Kerry Fox,1,6.0
Kerry O'Malley,1,5.6
Kerry Washington,1,5.7
Keshia Knight Pulliam,1,7.6
Kevin Alejandro,1,7.1
Kevin Bacon,5,6.5
Kevin Bankston,1,6.5
Kevin Brewerton,1,5.9
Kevin Breznahan,1,7.2
Kevin Chamberlin,1,5.9
Kevin Chapman,1,5.8
Kevin Connolly,1,7.6
Kevin Conroy,4,6.449999999999999
Kevin Corrigan,5,6.34
Kevin Costner,7,6.314285714285715
Kevin Dillon,1,6.2
Kevin Durand,3,5.333333333333333
Kevin Feige,1,5.5
Kevin G. Schmidt,1,6.2
Kevin Gage,3,6.7
Kevin Guthrie,1,6.3
Kevin Hart,7,5.7142857142857135
Kevin Heffernan,1,7.1
Kevin James,4,5.85
Kevin Jonas,2,6.95
Kevin Kirkpatrick,1,6.4
Kevin Kline,4,6.6
Kevin Kolack,1,5.9
Kevin Leslie,1,7.8
Kevin M. Horton,1,6.1
Kevin McHale,1,6.9
Kevin McKidd,1,7.2
Kevin Michael Richardson,4,6.325
Kevin Nash,1,7.0
Kevin Nealon,1,7.2
Kevin Otto,1,5.4
Kevin Phillips,1,5.7
Kevin Rahm,1,6.5
Kevin Rankin,1,6.6
Kevin Smith Kirkwood,1,6.6
Kevin Sorbo,6,6.233333333333334
Kevin Spacey,6,5.566666666666666
Kevin Weisman,1,6.8
Kevin Wu,1,5.6
Kevin Yon,1,5.8
Kevin Zegers,1,6.1
Kevon Kane,1,5.8
Kezia Burrows,1,5.3
Khary Payton,2,6.0
Kherington Payne,1,6.1
Khushal Yousafzai,1,5.7
Ki Hong Lee,1,5.4
Kian Lawley,1,5.4
Kiana Cason,1,5.9
Kiana Madeira,1,7.2
Kiefer Sutherland,4,5.3500000000000005
Kiele Sanchez,2,7.0
Kiely Williams,1,5.7
Kier-La Janisse,1,6.2
Kieran Culkin,2,5.85
Kieran Darcy-Smith,1,5.9
Kieran Thomas McNamara,1,7.1
Kiernan Shipka,2,5.1
Kiersey Clemons,2,5.55
Kierston Wareing,1,6.5
Kim Basinger,3,5.8999999999999995
Kim Cattrall,2,7.15
Kim DeJesus,1,6.4
Kim Hidalgo,1,5.2
Kim In-Kwon,1,5.3
Kim Seung-woo,1,6.2
Kimberley Crossman,1,7.0
Kimberley Nixon,2,6.25
Kimberly Elise,1,6.1
Kira Tozer,1,6.0
Kirby Bliss Blanton,1,7.3
Kirk Baily,1,7.1
Kirk Krack,1,6.8
Kirk Torrance,1,5.5
Kirron Kher,1,7.2
Kirsten Dunst,2,6.4
Kirsten Prout,1,6.5
Kirsty Mitchell,1,5.0
Kisha Sierra,1,6.4
Kit Harington,5,5.38
Kitana Kiki Rodriguez,1,5.8
Kitty Winn,1,6.7
Klara Kristin,1,5.4
Klaus LÃ¶witsch,1,6.1
Klaus Maria Brandauer,1,7.9
Kobe Bryant,1,5.9
Kodi Smit-McPhee,5,6.239999999999999
Koen De Graeve,1,4.8
Kohl Sudduth,1,6.9
Kote Tolordava,1,7.3
Kris Kjornes,1,4.8
Kris Kristofferson,1,7.2
Krist Novoselic,1,5.2
Krista Allen,2,6.9
Krista Bridges,1,7.6
Krista Kiuru,1,5.8
Kristanna Loken,1,5.2
Kristen Bell,9,6.477777777777778
Kristen Bush,1,5.4
Kristen Connolly,2,5.4
Kristen Hager,2,6.75
Kristen Kerr,1,5.8
Kristen Quintrall,1,6.6
Kristen Rakes,1,4.3
Kristen Schaal,2,5.550000000000001
Kristen Stewart,10,6.289999999999999
Kristen Wiig,11,6.054545454545454
Kristin Bauer van Straten,1,5.6
Kristin Booth,2,6.95
Kristin Cavallari,2,6.05
Kristin Chenoweth,3,6.433333333333334
Kristin Davis,1,5.1
Kristin Kreuk,2,5.55
Kristin Scott Thomas,3,6.133333333333333
Kristina Hayes,1,5.3
Kristoffer Joner,1,6.1
Kristoffer Polaha,1,4.7
Kristopher Turner,1,5.8
